sp_id,sp_name,avg_savings,,,,
382122,Car Factory Outlet Miami,2998.666667,,,,
275903,The Garage,2994.611111,,,,
60818,Cutter Dodge Chrysler Jeep Pearl City,2993,,,,
377648,Florida Direct Auto,2992.5,,,,
432706,NuVo Trade Company,2990.5,,,,
386264,Specialty Car Collection,2990.192308,,,,
375437,West Coast Motors LLC,2988,,,,
436914,DrivePanda.com-Joliet,2984,,,,
183177,Mercedes Benz of Princeton,2977,,,,
64662,Puyallup Truck Country,2972,,,,
280115,State Street Truck Stop,2966.541667,,,,
58386,Soerens Ford of Brookfield,2966,,,,
278638,Mercedes-Benz of Salt Lake City,2958,,,,
63242,San Marcos Chrysler Dodge,2951.5,,,,
275232,Valley Auto Sales,2950,,,,
433197,Mario's Auto Sales Inc,2949,,,,
405793,Only Cars NJ,2948.508772,,,,
390078,Courtesy Ford Conyers,2944,,,,
60522,Braman Miami,2942,,,,
430758,Baron Auto Emporium,2940.320755,,,,
326844,GM Sales,2938.4,,,,
55457,Greenway Dodge Chrysler Jeep,2937,,,,
285409,Integrity Motors,2933.71875,,,,
411530,Noco Services,2932.5,,,,
279142,OC Autohaus,2931.8,,,,
57122,Stearns Ford Inc,2930.666667,,,,
388019,Zimmey's Automotive Of Schaefferstown,2929.25,,,,
55598,Sunbelt Ford of Cordele,2924,,,,
399766,Certified Luxury Motors,2922.804598,,,,
367904,Midwestern,2922.666667,,,,
57007,Metro Ford Sales Inc.,2922.5,,,,
291875,Wendell Auto Brokers,2922,,,,
339483,Platinum Motor Cars,2921.142857,,,,
312007,Motor City Chevrolet Buick GMC,2918,,,,
410652,Audi Fletcher Jones,2917,,,,
275705,Greenway Nissan of Brunswick,2915,,,,
234883,Gabriel Jordan Buick GMC,2911,,,,
342637,ALM Mall of Georgia,2903,,,,
385401,Grace Motors,2899.363636,,,,
280066,Auto Drive,2896.636364,,,,
368731,Power Volkswagen,2896,,,,
433713,AMG Auto Traders,2890.75,,,,
180304,Car Factory,2888.052632,,,,
351447,Diesel World Truck Sales,2886.964286,,,,
347567,County Seat Motors,2884,,,,
302464,Spikes Ford,2883.571429,,,,
284737,Strawberry Road Auto,2883.324675,,,,
374793,BMW MINI of Escondido,2881.333333,,,,
399425,Artan Auto Center,2876.666667,,,,
411907,AutoMania,2875.666667,,,,
344296,Motorwerks,2873.333333,,,,
277399,Prestige Auto Sales,2873,,,,
392106,Truck World RVA,2869.636364,,,,
60253,BMW of San Rafael,2869.5,,,,
437552,Certified Luxury Motors VS,2868.25,,,,
283291,Mitchell Mill Motors,2867.75,,,,
50587,Behlmann Buick GMC Cadillac,2865,,,,
57430,Seth Wadley Ford Lincoln,2860,,,,
407875,Private Stock Auto Collection,2859,,,,
53325,Patriot Chevrolet of Darlington,2857,,,,
431379,Coast To Coast Cars,2856,,,,
